Paragraf	Hovedområde	Aktivitetsområde	Hovedkonto	Underkonto	Standardkonto	R 2001	B 2002	F 2003	BO 1 2004	BO 2 2005	BO 3 2006
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Træk på Danmarks Nationalbank	Træk på Danmarks Nationalbank	Løbende konti (+ = nettotræk)	Ændring af mellemvær. med Danm. Nationalbank	7072.2	-241.0	-13934.8	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Træk på Danmarks Nationalbank	Træk på Danmarks Nationalbank	Restancer vedrørende løbende konti i DN	Ændring af mellemvær. med Danm. Nationalbank	1216.1	0.0	0.0	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Emissionskurstab	Tilgang af andre finansielle aktiver	21.6	22.5	11.2	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Køb og amortisation af obligationer m.v.	Erhvervelse af værdipapirer	208.8	0.0	0.0	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Køb og amortisation af obligationer m.v.	Afhændelse og indfrielse af værdipapirer	-208.8	0.0	0.0	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Kortfristet gæld	Nedbringelse af finansiel gæld	1496.9	0.0	0.0	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Kortfristet gæld	Forøgelse af finansiel gæld	-665.3	0.0	0.0	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Langfristet gæld	Nedbringelse af finansiel gæld	17838.4	22447.2	17095.8	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Langfristet gæld	Forøgelse af finansiel gæld	-17612.0	-22469.7	-17106.2	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Ikke fordelt låntagning	Forøgelse af finansiel gæld	0.0	363.7	29.4	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Den Sociale Pensionsfond	Erhvervelse af værdipapirer	13775.0	5016.9	13261.9	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Den Sociale Pensionsfond	Afhændelse og indfrielse af værdipapirer	-12507.7	-5108.8	-13916.0	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Emissionskurstab	Tilgang af andre finansielle aktiver	-773.1	2495.6	1836.9	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Køb og amortisation af obligation	Erhvervelse af værdipapirer	39615.7	0.0	0.0	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Køb og amortisation af obligation	Afhændelse og indfrielse af værdipapirer	-41615.7	0.0	0.0	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Valutaswaps	Nedbringelse af finansiel gæld	4800.0	0.0	0.0	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Kortfristede statslån	Nedbringelse af finansiel gæld	62319.0	63272.5	77313.9	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Kortfristede statslån	Forøgelse af finansiel gæld	-74697.0	-71588.4	-79348.4	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Statsgældsbeviser	Nedbringelse af finansiel gæld	36330.0	34100.0	36688.0	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Statsgældsbeviser	Forøgelse af finansiel gæld	-25861.0	-33195.6	-38892.5	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Statsobligationer	Nedbringelse af finansiel gæld	60800.0	40215.8	54418.8	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Statsobligationer	Forøgelse af finansiel gæld	-48683.0	-41121.4	-47420.2	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Valutakursreguleringer	Val.kursreg. på udl. statsgæld	Realiserede val.kursreg. på udl. statsgæld	Realiserede valutakursreguleringer	Nedbringelse af finansiel gæld	957.6	3421.5	905.2	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Valutakursreguleringer	Val.kursreg. på udl. statsgæld	Realiserede val.kursreg. på udl. statsgæld	Realiserede valutakursreguleringer	Forøgelse af finansiel gæld	-1718.0	-2992.2	-997.8	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Fondenes beholdningsbevægelser	Fondenes beholdningsbevægelser	Fondenes beholdningsbevægelser	Regnskabstekniske konti	-1248.9	0.0	0.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Mellemregning med fonde	Mellemregning med fonde	Regnskabstekniske konti	727.8	0.0	0.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Per.forskyd. vedr statens ind og udbetalinger	Periodeforskydninger	Ændring af kortfristet tilgodeh. (debitorer)	0.0	13300.0	0.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Genudlån til Statens Forsknings- og Udd.bygn.	Interne statslige overførselsudgifter	0.0	0.0	458.1	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Genudlån til Statens Forsknings- og Udd.bygn.	Interne statslige overførselsindtægter	0.0	0.0	-251.6	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Genudlån til Slots- og Ejendomsstyrelsen	Interne statslige overførselsudgifter	0.0	0.0	355.4	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Genudlån til Slots- og Ejendomsstyrelsen	Interne statslige overførselsindtægter	0.0	0.0	-183.6	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Hensættelse vedr. afgivne gældslettelsestils.	Ændring af kortfristet gæld (kreditorer)	0.0	265.0	0.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Hensæt vedr. afgivne statsforskrivninger	Ændring af kortfristet gæld (kreditorer)	193.0	67.8	527.3	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Hensæt. vedr afgivne tilsagn	Ændring af kortfristet gæld (kreditorer)	-736.3	2881.2	2402.3	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Passiver vedr. Eksport Kredit Fonden	Ændring af kortfristet gæld (kreditorer)	8.4	0.0	0.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Passiver (+ = forøgelse)	Ændring af kortfristet gæld (kreditorer)	-14605.6	0.0	0.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Passiver (+ = forøgelse)	Regnskabstekniske konti	-0.0	0.0	0.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Aktiver vedrørende interventionslagre, EU	Ændring af øvrige kortfristede tilgodehav.	10.9	3.3	42.8	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Aktiver vedr. Danmarks Erhvervsfond	Ændring af kortfristet tilgodeh. (debitorer)	-391.4	0.0	0.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Aktiver (+ = formindskelse)	Ændring af kontantkasser	3.8	0.0	0.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Aktiver (+ = formindskelse)	Ændring af indenlandske girokonti	1878.2	0.0	0.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Aktiver (+ = formindskelse)	Ændring af private pengeinstitutkonti m.v.	1419.5	0.0	0.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Beholdningsbevægelser	Statens beholdningsbevægelser	Statens almindelige beholdningsbevægelser	Aktiver (+ = formindskelse)	Ændring af kortfristet tilgodeh. (debitorer)	12602.9	350.0	4175.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Nedskrivning af emissionskurstab	Opkøbskurstab	Opkøbskurstab	Fordelte opkøbskurstab, indenlandsk statsgæld	Nedbringelse af andre finansielle aktiver	-14.8	0.0	0.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Nedskrivning af emissionskurstab	Periodiserede renter	Periodiserede renter	Den Sociale Pensionsfond	Ændring af kortfristet tilgodeh. (debitorer)	-39.9	3767.0	2750.7	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Nedskrivning af emissionskurstab	Periodiserede renter	Periodiserede renter	Den Sociale Pensionsfond	Ændring af kortfristet gæld (kreditorer)	0.0	-3798.6	-3307.0	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Nedskrivning af emissionskurstab	Periodiserede renter	Periodiserede renter	Udenlandsk statsgæld	Ændring af kortfristet tilgodeh. (debitorer)	0.0	1562.1	1679.5	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Nedskrivning af emissionskurstab	Periodiserede renter	Periodiserede renter	Udenlandsk statsgæld	Ændring af kortfristet gæld (kreditorer)	276.6	-1562.1	-1679.5	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Nedskrivning af emissionskurstab	Periodiserede renter	Periodiserede renter	Indenlandsk statsgæld	Ændring af kortfristet tilgodeh. (debitorer)	0.0	11804.5	9372.8	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Nedskrivning af emissionskurstab	Periodiserede renter	Periodiserede renter	Indenlandsk statsgæld	Ændring af kortfristet gæld (kreditorer)	2030.0	-10811.7	-6631.3	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Nedskrivning af emissionskurstab	Nedskrivning af emissionskurstab	Fordelte emissionskurstab	Udenlandsk statsgæld	Nedbringelse af andre finansielle aktiver	-0.5	14.4	5.8	0.0	0.0	0.0
Beholdningsbevægelser m.v.	Nedskrivning af emissionskurstab	Nedskrivning af emissionskurstab	Fordelte emissionskurstab	Indenlandsk statsgæld	Nedbringelse af andre finansielle aktiver	-2687.1	-1915.9	-2050.7	0.0	0.0	0.0
Genudlån m.v.	Inkonverterbare realkreditlån	Inkonverterbare realkreditlån	Adm. af inkonverterbare realkreditlån	Overtagen gæld	Nedbringelse af finansiel gæld	184.9	186.0	200.0	0.0	0.0	0.0
Genudlån m.v.	Inkonverterbare realkreditlån	Inkonverterbare realkreditlån	Adm. af inkonverterbare realkreditlån	Overtagen gæld	Forøgelse af finansiel gæld	-268.8	-260.0	-280.0	0.0	0.0	0.0
Genudlån m.v.	Inkonverterbare realkreditlån	Inkonverterbare realkreditlån	Adm. af inkonverterbare realkreditlån	Opkøb af obligationer	Erhvervelse af værdipapirer	327.3	380.0	405.0	0.0	0.0	0.0
