ID	Paragraf	Hovedområde	Aktivitetsområde	Hovedkonto	Underkonto	Standardkonto	R 2007	B 2008	F 2009	BO 1 2010	BO 2 2011	BO 3 2012
4213012063	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Træk på Danmarks Nationalbank	Træk på Danmarks Nationalbank	Løbende konti (+ = nettotræk)	Likvide beholdninger	16724.8	9977.7	-63651.4	0.0	0.0	0.0
4212015056	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Emissionskurstab	Emmissionskurstab, tilgang	1.2	0.0	0.0	0.0	0.0	0.0
4212014058	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Køb og amortisation af obligationer m. v.	Værdipapirer, tilgang	724.0	0.0	0.0	0.0	0.0	0.0
4212014059	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Køb og amortisation af obligationer m. v.	Værdipapirer, afgang	-724.0	0.0	0.0	0.0	0.0	0.0
4212013525	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Ikke-realiserede valutakursreg. k. statsgæld	Finansielle indtægter	0.1	0.0	0.0	0.0	0.0	0.0
4212013082	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Kortfristet gæld	Statsgæld udland, tilgang	-576.2	0.0	0.0	0.0	0.0	0.0
4212013083	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Kortfristet gæld	Statsgæld udland, afgang	576.2	0.0	32073.0	0.0	0.0	0.0
4212011525	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Ikke-realiserede valutakursregulering lang sg	Finansielle indtægter	-705.5	0.0	0.0	0.0	0.0	0.0
4212011082	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Langfristet gæld	Statsgæld udland, tilgang	-9493.6	-24438.2	-21539.4	0.0	0.0	0.0
4212011083	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Langfristet gæld	Statsgæld udland, afgang	20670.3	23133.4	21833.0	0.0	0.0	0.0
4211017080	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Ikke fordelt låntagning	Statsgæld indland, tilgang	0.0	-249.2	-124.3	0.0	0.0	0.0
4211016358	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Forebyggelsesfonden	Værdipapirer, tilgang	3006.4	54.0	391.5	0.0	0.0	0.0
4211016359	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Forebyggelsesfonden	Værdipapirer, afgang	-268.6	-297.0	-619.0	0.0	0.0	0.0
4211016258	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Finansieringsfond ved. Grundforskningsfond	Værdipapirer, tilgang	291.5	0.0	0.0	0.0	0.0	0.0
4211016259	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Finansieringsfond ved. Grundforskningsfond	Værdipapirer, afgang	-302.2	-1593.8	0.0	0.0	0.0	0.0
4211016158	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Højteknologifonden	Værdipapirer, tilgang	2868.0	2546.6	4552.3	0.0	0.0	0.0
4211016159	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Højteknologifonden	Værdipapirer, afgang	-924.6	-522.0	-2154.2	0.0	0.0	0.0
4211016058	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Den Sociale Pensionsfond	Værdipapirer, tilgang	16650.8	1946.8	38358.4	0.0	0.0	0.0
4211016059	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Den Sociale Pensionsfond	Værdipapirer, afgang	-19562.1	-4815.1	-17081.6	0.0	0.0	0.0
4211015056	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Emissionskurstab	Emmissionskurstab, tilgang	1446.2	1424.4	600.4	0.0	0.0	0.0
4211014058	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Køb og amortisation af obligation	Værdipapirer, tilgang	26102.1	0.0	0.0	0.0	0.0	0.0
4211014059	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Køb og amortisation af obligation	Værdipapirer, afgang	-26102.1	0.0	0.0	0.0	0.0	0.0
4211013580	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Valutaswaps	Statsgæld indland, tilgang	-6726.0	-2425.8	-6827.9	0.0	0.0	0.0
4211013581	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Valutaswaps	Statsgæld indland, afgang	10243.5	24438.2	822.9	0.0	0.0	0.0
4211013080	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Kortfristede statslån	Statsgæld indland, tilgang	-29180.0	-19000.0	0.0	0.0	0.0	0.0
4211013081	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Kortfristede statslån	Statsgæld indland, afgang	52180.0	38660.0	0.0	0.0	0.0	0.0
4211011125	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Tilgang af gæld fra Fiskeribankens nedlæggels	Finansielle indtægter	0.0	0.0	-9.9	0.0	0.0	0.0
4211011129	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Tilgang af gæld fra Fiskeribankens nedlæggels	Ekstraordinære omkostninger	0.0	0.0	1131.9	0.0	0.0	0.0
4211011180	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Tilgang af gæld fra Fiskeribankens nedlæggels	Statsgæld indland, tilgang	0.0	0.0	-1122.0	0.0	0.0	0.0
4211011080	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Statsobligationer	Statsgæld indland, tilgang	-20636.6	-31084.4	-40600.4	0.0	0.0	0.0
4211011081	Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Indenlandsk statsgæld	Indenlandsk statsgæld	Statsobligationer	Statsgæld indland, afgang	46496.7	47135.4	54152.0	0.0	0.0	0.0
4141051085	Beholdningsbevægelser mv.	Strukturreformen	Strukturreformen	Afdrag vedr. strukturreformen	Afdrag på langfristet gæld	Prioritetsgæld og anden langfr. gæld, afgang	1240.1	151.2	0.0	0.0	0.0	0.0
4141041028	Beholdningsbevægelser mv.	Strukturreformen	Strukturreformen	kontantafregning, afgivende myndigheder	Kontantudligning	Ekstraordinære indtægter	-295.8	0.0	0.0	0.0	0.0	0.0
4141041029	Beholdningsbevægelser mv.	Strukturreformen	Strukturreformen	kontantafregning, afgivende myndigheder	Kontantudligning	Ekstraordinære omkostninger	5603.3	0.0	0.0	0.0	0.0	0.0
4141031029	Beholdningsbevægelser mv.	Strukturreformen	Strukturreformen	tjenestemandspensionsforpligtelser	Hensættelser	Ekstraordinære omkostninger	748.4	0.0	0.0	0.0	0.0	0.0
4141031077	Beholdningsbevægelser mv.	Strukturreformen	Strukturreformen	tjenestemandspensionsforpligtelser	Hensættelser	Hensættelser vedr. afgivne tilsagn mv.	-748.4	0.0	0.0	0.0	0.0	0.0
4141022029	Beholdningsbevægelser mv.	Strukturreformen	Strukturreformen	Tilgang af passiver	Kortfristet gæld	Ekstraordinære omkostninger	2.1	0.0	0.0	0.0	0.0	0.0
4141022097	Beholdningsbevægelser mv.	Strukturreformen	Strukturreformen	Tilgang af passiver	Kortfristet gæld	Anden kortfristet gæld	-2.1	0.0	0.0	0.0	0.0	0.0
4141021029	Beholdningsbevægelser mv.	Strukturreformen	Strukturreformen	Tilgang af passiver	Langfristet gæld	Ekstraordinære omkostninger	1637.5	0.0	0.0	0.0	0.0	0.0
4141021084	Beholdningsbevægelser mv.	Strukturreformen	Strukturreformen	Tilgang af passiver	Langfristet gæld	Prioritetsgæld og anden langfr. gæld, tilgang	-1637.5	0.0	0.0	0.0	0.0	0.0
4141012028	Beholdningsbevægelser mv.	Strukturreformen	Strukturreformen	Tilgang af aktiver	Omsætningsaktiver	Ekstraordinære indtægter	-597.6	0.0	0.0	0.0	0.0	0.0
4141012029	Beholdningsbevægelser mv.	Strukturreformen	Strukturreformen	Tilgang af aktiver	Omsætningsaktiver	Ekstraordinære omkostninger	0.0	0.0	107.0	0.0	0.0	0.0
4141012061	Beholdningsbevægelser mv.	Strukturreformen	Strukturreformen	Tilgang af aktiver	Omsætningsaktiver	Tilgodehavender	597.6	0.0	0.0	0.0	0.0	0.0
4141011028	Beholdningsbevægelser mv.	Strukturreformen	Strukturreformen	Tilgang af aktiver	Anlægsaktiver	Ekstraordinære indtægter	-9380.7	0.0	0.0	0.0	0.0	0.0
4141011051	Beholdningsbevægelser mv.	Strukturreformen	Strukturreformen	Tilgang af aktiver	Anlægsaktiver	Anlægsaktiver (anskaffelser)	9380.7	0.0	0.0	0.0	0.0	0.0
4131021025	Beholdningsbevægelser mv.	Valutakursreguleringer	Val.kursreg. på udl. statsgæld	Valutakursreg. på udenl. genudlån	Udenlandske genudlån	Finansielle indtægter	-44.8	0.0	0.0	0.0	0.0	0.0
4131021026	Beholdningsbevægelser mv.	Valutakursreguleringer	Val.kursreg. på udl. statsgæld	Valutakursreg. på udenl. genudlån	Udenlandske genudlån	Finansielle omkostninger	0.3	0.0	0.0	0.0	0.0	0.0
4131021054	Beholdningsbevægelser mv.	Valutakursreguleringer	Val.kursreg. på udl. statsgæld	Valutakursreg. på udenl. genudlån	Udenlandske genudlån	Statslige udlån, tilgang	0.0	0.0	36.6	0.0	0.0	0.0
4131021055	Beholdningsbevægelser mv.	Valutakursreguleringer	Val.kursreg. på udl. statsgæld	Valutakursreg. på udenl. genudlån	Udenlandske genudlån	Statslige udlån, afgang	0.0	-76.5	-15.2	0.0	0.0	0.0
