Paragraf	Hovedområde	Aktivitetsområde	Hovedkonto	Underkonto	Standardkonto	R 2013	B 2014	F 2015	BO 1 2016	BO 2 2017	BO 3 2018
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Træk på Danmarks Nationalbank	Træk på Danmarks Nationalbank	Forebyggelsesfondens konto	Likvide beholdninger	397.2	0.0	0.0	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Træk på Danmarks Nationalbank	Træk på Danmarks Nationalbank	Danmarks Innovationsfonds konto	Likvide beholdninger	2834.3	0.0	0.0	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Træk på Danmarks Nationalbank	Træk på Danmarks Nationalbank	Den Sociale Pensionsfonds konto	Likvide beholdninger	375.2	0.0	0.0	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Træk på Danmarks Nationalbank	Træk på Danmarks Nationalbank	Konto vedr. sikkerhedsstillelse ifm derivater	Likvide beholdninger	3596.2	0.0	-1000.0	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Træk på Danmarks Nationalbank	Træk på Danmarks Nationalbank	Løbende konti (+ = nettotræk)	Likvide beholdninger	-7241.3	3752.9	-43151.3	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Emissionskurstab	Emmissionskurstab, tilgang	14.9	10.0	10.0	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Ikke-realiserede valutakursreg. k. statsgæld	Finansielle indtægter	-1.3	0.0	0.0	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Kortfristet gæld	Statsgæld udland, tilgang	-37608.2	-2452.0	-35000.0	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Kortfristet gæld	Statsgæld udland, afgang	37864.9	2442.0	35000.0	0.0	0.0	0.0
Afdrag på statsgælden (netto)	Statens nettolånoptagelse	Udenlandsk statsgæld	Udenlandsk statsgæld	Ikke-realiserede valutakursregulering lang sg	Finansielle indtægter	-284.6	0.0	0.0	0.0	0.0	0.0
