Paragraf;Hovedområde;Aktivitetsområde;Hovedkonto;Underkonto;Standardkonto;R 2014;B 2015;F 2016;BO 1 2017;BO 2 2018;BO 3 2019
Afdrag på statsgælden (netto);Statens nettolånoptagelse;Træk på Danmarks Nationalbank;Træk på Danmarks Nationalbank;Forebyggelsesfondens konto;Likvide beholdninger;-367.2;0.0;0.0;0.0;0.0;0.0
Afdrag på statsgælden (netto);Statens nettolånoptagelse;Træk på Danmarks Nationalbank;Træk på Danmarks Nationalbank;Danmarks Innovationsfonds konto;Likvide beholdninger;-2814.8;0.0;0.0;0.0;0.0;0.0
Afdrag på statsgælden (netto);Statens nettolånoptagelse;Træk på Danmarks Nationalbank;Træk på Danmarks Nationalbank;Den Sociale Pensionsfonds konto;Likvide beholdninger;-1776.7;0.0;0.0;0.0;0.0;0.0
Afdrag på statsgælden (netto);Statens nettolånoptagelse;Træk på Danmarks Nationalbank;Træk på Danmarks Nationalbank;Konto vedr. sikkerhedsstillelse ifm derivater;Likvide beholdninger;207.9;-1000.0;0.0;0.0;0.0;0.0
Afdrag på statsgælden (netto);Statens nettolånoptagelse;Træk på Danmarks Nationalbank;Træk på Danmarks Nationalbank;Løbende konti (+ = nettotræk);Likvide beholdninger;55898.1;-43151.3;-58278.0;0.0;0.0;0.0
Afdrag på statsgælden (netto);Statens nettolånoptagelse;Udenlandsk statsgæld;Udenlandsk statsgæld;Emissionskurstab;Emmissionskurstab, tilgang;5.3;10.0;10.0;0.0;0.0;0.0
Afdrag på statsgælden (netto);Statens nettolånoptagelse;Udenlandsk statsgæld;Udenlandsk statsgæld;Ikke-realiserede valutakursreg. k. statsgæld;Finansielle indtægter;-7.9;0.0;0.0;0.0;0.0;0.0
Afdrag på statsgælden (netto);Statens nettolånoptagelse;Udenlandsk statsgæld;Udenlandsk statsgæld;Kortfristet gæld;Statsgæld udland, tilgang;-33964.2;-35000.0;0.0;0.0;0.0;0.0
Afdrag på statsgælden (netto);Statens nettolånoptagelse;Udenlandsk statsgæld;Udenlandsk statsgæld;Kortfristet gæld;Statsgæld udland, afgang;32816.8;35000.0;0.0;0.0;0.0;0.0
Afdrag på statsgælden (netto);Statens nettolånoptagelse;Udenlandsk statsgæld;Udenlandsk statsgæld;Ikke-realiserede valutakursregulering lang sg;Finansielle indtægter;605.3;0.0;0.0;0.0;0.0;0.0
Afdrag på statsgælden (netto);Statens nettolånoptagelse;Udenlandsk statsgæld;Udenlandsk statsgæld;Langfristet gæld;Statsgæld udland, tilgang;-8680.7;-8500.0;0.0;0.0;0.0;0.0
Afdrag på statsgælden (netto);Statens nettolånoptagelse;Udenlandsk statsgæld;Udenlandsk statsgæld;Langfristet gæld;Statsgæld udland, afgang;26750.6;22557.2;22033.9;0.0;0.0;0.0
Afdrag på statsgælden (netto);Statens nettolånoptagelse;Indenlandsk statsgæld;Indenlandsk statsgæld;Fonden for F & F, Opkøbskurstab/gevinst;Værdipapirer, tilgang;0.0;0.0;0.5;0.0;0.0;0.0
Afdrag på statsgælden (netto);Statens nettolånoptagelse;Indenlandsk statsgæld;Indenlandsk statsgæld;DK;Værdipapirer, tilgang;0.0;0.0;18.7;0.0;0.0;0.0
Afdrag på statsgælden (netto);Statens nettolånoptagelse;Indenlandsk statsgæld;Indenlandsk statsgæld;DSP Opkøbskurstab/gevinst;Værdipapirer, tilgang;0.0;0.0;-276.8;0.0;0.0;0.0
Afdrag på statsgælden (netto);Statens nettolånoptagelse;Indenlandsk statsgæld;Indenlandsk statsgæld;Fonden for Forebyggelse og Fastholdelse;Værdipapirer, tilgang;143.8;821.3;15.9;0.0;0.0;0.0
Afdrag på statsgælden (netto);Statens nettolånoptagelse;Indenlandsk statsgæld;Indenlandsk statsgæld;Fonden for Forebyggelse og Fastholdelse;Værdipapirer, afgang;-45.4;-1056.3;-60.5;0.0;0.0;0.0
Afdrag på statsgælden (netto);Statens nettolånoptagelse;Indenlandsk statsgæld;Indenlandsk statsgæld;Danmarks Innovationsfond;Værdipapirer, tilgang;2843.8;4107.5;417.1;0.0;0.0;0.0
Afdrag på statsgælden (netto);Statens nettolånoptagelse;Indenlandsk statsgæld;Indenlandsk statsgæld;Danmarks Innovationsfond;Værdipapirer, afgang;-75.7;-3946.2;-326.6;0.0;0.0;0.0
Afdrag på statsgælden (netto);Statens nettolånoptagelse;Indenlandsk statsgæld;Indenlandsk statsgæld;Den Sociale Pensionsfond;Værdipapirer, tilgang;3577.9;12771.0;4511.3;0.0;0.0;0.0
Afdrag på statsgælden (netto);Statens nettolånoptagelse;Indenlandsk statsgæld;Indenlandsk statsgæld;Den Sociale Pensionsfond;Værdipapirer, afgang;-11708.0;-22189.5;-14882.1;0.0;0.0;0.0
Afdrag på statsgælden (netto);Statens nettolånoptagelse;Indenlandsk statsgæld;Indenlandsk statsgæld;Indeksobligationer, løbende indeksering;Finansielle omkostninger;169.4;423.5;391.1;0.0;0.0;0.0
Afdrag på statsgælden (netto);Statens nettolånoptagelse;Indenlandsk statsgæld;Indenlandsk statsgæld;Indeksobligationer, indeksering;Statsgæld indland, tilgang;-555.1;-423.5;-391.1;0.0;0.0;0.0
Afdrag på statsgælden (netto);Statens nettolånoptagelse;Indenlandsk statsgæld;Indenlandsk statsgæld;Emissionskurstab;Emmissionskurstab, tilgang;-6745.0;0.0;0.0;0.0;0.0;0.0
Afdrag på statsgælden (netto);Statens nettolånoptagelse;Indenlandsk statsgæld;Indenlandsk statsgæld;Emissionskurstab;Statsgæld udland, afgang;0.0;-5805.8;-3963.9;0.0;0.0;0.0
Afdrag på statsgælden (netto);Statens nettolånoptagelse;Indenlandsk statsgæld;Indenlandsk statsgæld;Køb og amortisation af obligation;Værdipapirer, tilgang;8877.3;0.0;0.0;0.0;0.0;0.0
Afdrag på statsgælden (netto);Statens nettolånoptagelse;Indenlandsk statsgæld;Indenlandsk statsgæld;Køb og amortisation af obligation;Værdipapirer, afgang;-8877.3;0.0;0.0;0.0;0.0;0.0
Afdrag på statsgælden (netto);Statens nettolånoptagelse;Indenlandsk statsgæld;Indenlandsk statsgæld;Valutaswaps;Statsgæld indland, tilgang;-2638.3;-1152.2;-1148.5;0.0;0.0;0.0
Afdrag på statsgælden (netto);Statens nettolånoptagelse;Indenlandsk statsgæld;Indenlandsk statsgæld;Kortfristede statslån;Statsgæld indland, tilgang;-82600.0;-91250.0;-105000.0;0.0;0.0;0.0
Afdrag på statsgælden (netto);Statens nettolånoptagelse;Indenlandsk statsgæld;Indenlandsk statsgæld;Kortfristede statslån;Statsgæld indland, afgang;85100.0;91250.0;105000.0;0.0;0.0;0.0
Afdrag på statsgælden (netto);Statens nettolånoptagelse;Indenlandsk statsgæld;Indenlandsk statsgæld;Sikkerhedsstillelse vedr. derivater;Statsgæld indland, tilgang;-207.9;1000.0;0.0;0.0;0.0;0.0
Afdrag på statsgælden (netto);Statens nettolånoptagelse;Indenlandsk statsgæld;Indenlandsk statsgæld;Indeksobligationer, nominel værdi;Statsgæld indland, tilgang;-11725.0;0.0;0.0;0.0;0.0;0.0
Afdrag på statsgælden (netto);Statens nettolånoptagelse;Indenlandsk statsgæld;Indenlandsk statsgæld;Statsobligationer;Statsgæld indland, tilgang;-83800.0;-69194.1;-66303.0;0.0;0.0;0.0
Afdrag på statsgælden (netto);Statens nettolånoptagelse;Indenlandsk statsgæld;Indenlandsk statsgæld;Statsobligationer;Statsgæld indland, afgang;62176.5;82208.5;56341.8;0.0;0.0;0.0
Beholdningsbevægelser mv.;Valutakursreguleringer;Val.kursreg. på udl. statsgæld;Valutakursreg. på udenl. genudlån;Udenlandske genudlån;Finansielle indtægter;-37.2;0.0;0.0;0.0;0.0;0.0
Beholdningsbevægelser mv.;Valutakursreguleringer;Val.kursreg. på udl. statsgæld;Valutakursreg. på udenl. genudlån;Udenlandske genudlån;Finansielle omkostninger;52.8;0.0;0.0;0.0;0.0;0.0
Beholdningsbevægelser mv.;Valutakursreguleringer;Val.kursreg. på udl. statsgæld;Valutakursreg. på udenl. genudlån;Udenlandske genudlån;Statslige udlån, tilgang;0.0;82.1;236.3;0.0;0.0;0.0
Beholdningsbevægelser mv.;Valutakursreguleringer;Val.kursreg. på udl. statsgæld;Valutakursreg. på udenl. genudlån;Udenlandske genudlån;Statslige udlån, afgang;0.0;-9.6;0.0;0.0;0.0;0.0
Beholdningsbevægelser mv.;Valutakursreguleringer;Val.kursreg. på udl. statsgæld;Realiserede val.kursreg. på udl.. statsgæld;Realiserede valutakursreguleringer;Finansielle indtægter;-1205.0;-240.5;-1614.5;0.0;0.0;0.0
Beholdningsbevægelser mv.;Valutakursreguleringer;Val.kursreg. på udl. statsgæld;Realiserede val.kursreg. på udl.. statsgæld;Realiserede valutakursreguleringer;Finansielle omkostninger;1153.6;307.9;1831.3;0.0;0.0;0.0
Beholdningsbevægelser mv.;Beholdningsbevægelser;Fondenes beholdningsbevægelser;Fondenes beholdningsbevægelser;Fondenes beholdningsbevægelser;Adviseringer;-0.2;0.0;0.0;0.0;0.0;0.0
Beholdningsbevægelser mv.;Beholdningsbevægelser;Statens beholdningsbevægelser;Statens almindelige beholdningsbevægelser;Hensæt vedr. afgivne statsforskrivninger;Hensættelser vedr. afgivne tilsagn mv.;0.0;0.0;0.0;0.0;0.0;0.0
Beholdningsbevægelser mv.;Beholdningsbevægelser;Statens beholdningsbevægelser;Statens almindelige beholdningsbevægelser;Kortfristet gæld;Igangv. arb. for fremmedregn., forpligtelser;-116.9;0.0;0.0;0.0;0.0;0.0
Beholdningsbevægelser mv.;Beholdningsbevægelser;Statens beholdningsbevægelser;Statens almindelige beholdningsbevægelser;Kortfristet gæld;Feriepengeforpligtelse;71.7;0.0;0.0;0.0;0.0;0.0
Beholdningsbevægelser mv.;Beholdningsbevægelser;Statens beholdningsbevægelser;Statens almindelige beholdningsbevægelser;Kortfristet gæld;Gæld vedr. køb af varer og tjenester;108.0;0.0;0.0;0.0;0.0;0.0
